,职位编码,职位名称,所在城市,发布日期,薪资待遇(k),公司编码,公司名称,公司全称,公司规模,所在区域,最低学历,融资状态,公司类型,经度,纬度,全职/实习,工作经验
0,2680140,Web安全工程师,杭州,2018-04-27 15:56:54,21.0,3864,51信用卡管家,杭州恩牛网络技术有限公司,500-2000人,西湖区,本科,C轮,"金融,数据服务",120.075069,30.291157,全职,3-5年
1,3710405,web安全专家,杭州,2018-04-27 09:26:47,29.0,127233,政采云,政采云有限公司,150-500人,西湖区,本科,不需要融资,"电子商务,数据服务",39.897445,116.331398,全职,5-10年
2,4404172,WEB安全专家,杭州,2018-04-11 15:21:53,26.0,46629,金诚集团,浙江诚泽金开投资管理有限公司,2000人以上,拱墅区,本科,上市公司,金融,120.144599,30.313212,全职,5-10年
3,4349579,web安全研究员,武汉,2018-03-30 09:46:17,19.0,30648,绿盟科技,北京神州绿盟信息安全科技股份有限公司,500-2000人,洪山区,不限,上市公司,信息安全,114.406728,30.477141,全职,不限
4,3472641,WEB安全研究员,广州,2018-04-27 15:33:22,6.2,52053,昊恒科技,广州市昊恒信息科技有限公司,50-150人,越秀区,不限,不需要融资,"移动互联网,信息安全",113.29425,23.13134,全职,1-3年
5,3126720,Web安全工程师,杭州,2018-04-28 10:24:08,11.2,191853,云屏科技,杭州云屏科技有限公司,50-150人,余杭区,本科,不需要融资,"移动互联网,信息安全",120.007075,30.27725,全职,3-5年
6,3958352,web安全工程师,佛山,2018-04-09 17:39:38,14.0,174512,南极圈科技,深圳市南极圈科技有限公司佛山分公司,15-50人,南海区,本科,未融资,移动互联网,113.17615,23.028143,全职,3-5年
7,4233515,信息安全 工程师（Web安全方向）,成都,2018-04-23 14:37:12,11.2,95229,四川长虹电器股份有限公司,四川长虹电器股份有限公司,2000人以上,高新区,本科,上市公司,硬件,104.063426,30.541304,全职,1-3年
8,2834387,Web安全研究工程师,上海,2018-04-28 14:37:01,19.0,23694,云盾,上海云盾信息技术有限公司,50-150人,闵行区,本科,A轮,"移动互联网,数据服务",121.347209,31.137627,全职,3-5年
9,4393257,web安全实习生,杭州,2018-04-27 17:30:03,3.8,325,同花顺,浙江核新同花顺网络信息股份有限公司,2000人以上,余杭区,本科,上市公司,金融,119.993591,29.993662,全职,应届毕业生
10,2619262,WEB安全研究员,杭州,2018-04-24 17:47:41,19.0,6462,安恒信息,杭州安恒信息技术有限公司,500-2000人,滨江区,本科,不需要融资,"信息安全 ,数据服务",120.21425,30.209525,全职,1-3年
11,4303084,Web安全工程师,北京,2018-04-23 11:30:30,58.0,254321,熵简,北京熵简科技有限公司,少于15人,海淀区,本科,天使轮,"金融,数据服务",116.306295,40.053034,全职,1-3年
12,3337503,web安全工程师,北京,2018-04-16 15:22:09,19.0,148909,360企业安全,北京奇安信科技有限公司,2000人以上,朝阳区,本科,不需要融资,"电子商务,企业服务",116.490161,39.982669,全职,3-5年
13,3872575,Web安全攻防研究员,重庆,2018-04-25 09:09:27,8.4,233849,邦得鼎盛,北京邦得鼎盛科技有限公司重庆分公司,15-50人,江北区,不限,未融资,"移动互联网,信息安全",106.533829,29.572243,全职,1-3年
14,4367249,信息安全工程师（web安全）,北京,2018-04-03 15:15:45,19.0,436,360,奇虎360科技有限公司,2000人以上,朝阳区,不限,上市公司,"移动互联网,游戏",116.491128,39.983132,全职,不限
15,2605909,信息安全工程师(WEB安全方向),郑州,2018-04-25 09:58:51,7.0,52225,郑州赛欧思科技有限公司,郑州赛欧思科技有限公司,15-50人,高新区,不限,未融资,信息安全,113.566438,34.817421,全职,1-3年
16,3224632,Web安全工程师（渗透方向）,深圳,2018-04-28 09:40:35,21.0,267,盒子科技,深圳盒子信息科技有限公司,500-2000人,南山区,本科,C轮,"移动互联网,金融",113.940802,22.523714,全职,3-5年
17,3876388,web安全渗透工程师,成都,2018-04-28 09:55:57,12.6,33646,久远银海,四川久远银海软件股份有限公司,500-2000人,锦江区,本科,上市公司,"移动互联网,硬件",104.084768,30.588948,全职,1-3年
18,4271317,web安全培训讲师,北京,2018-04-27 11:08:42,14.0,436,360,奇虎360科技有限公司,2000人以上,朝阳区,本科,上市公司,"移动互联网,游戏",116.491128,39.98313206,全职,3-5年
19,3972651,web安全测试工程师,北京,2018-04-19 18:26:00,21.0,148909,360企业安全,北京奇安信科技有限公司,2000人以上,朝阳区,本科,不需要融资,"电子商务,企业服务",116.490161,39.982669,全职,5-10年
20,2735485,渗透测试工程师（web安全方向）,杭州,2018-04-24 17:47:38,14.0,6462,安恒信息,杭州安恒信息技术有限公司,500-2000人,滨江区,本科,不需要融资,"信息安全 ,数据服务",120.21425,30.209525,全职,3-5年
21,1655499,web安全 渗透测试工程师,上海,2018-04-27 10:30:03,14.0,18037,上讯,上海上讯信息技术股份有限公司,500-2000人,浦东新区,不限,上市公司,"企业服务,信息安全",121.600397,31.201813,全职,1-3年
